#,First Name,Last Name,Gender,Bloof Group,Date of Birth,Passport Number,NRIC Number,Religion,Race,Mobile Number,Country,State/Province,City,Zip/Postal Code,Address 1,Address 2,Academic Year,Register Number,Roll Number,Admission Date,Grade,Class,Session,Semester,Email,Password,Confirm Password,Father Name,Mother Name,Guardian Name,Guardian Relation,School Name,Qualification,Remarks
1,清,佐藤,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,1,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 1,s9753807@gmail.com,12345678,12345678,直美,,,,KMHHS,First,Good
2,勇,鈴木,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,2,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 2,s9535014@gmail.com,12345678,12345678,誠,,,,KMHHS,First,Good
3,進,高橋,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,3,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 3,s11413808@gmail.com,12345678,12345678,晶子,,,,KMHHS,First,Good
4,弘,田中,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,4,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 4,s10692234@gmail.com,12345678,12345678,雄三,,,,KMHHS,First,Good
5,勝,伊藤,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,5,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 5,s8754767@gmail.com,12345678,12345678,英二,,,,KMHHS,First,Good
6,豊,渡辺,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,6,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 6,s8477055@gmail.com,12345678,12345678,克也,,,,KMHHS,First,Good
7,誠,山本,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,7,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 7,s10636109@gmail.com,12345678,12345678,吉朗,,,,KMHHS,First,Good
8,稔,中村,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,8,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 8,s10738239@gmail.com,12345678,12345678,美恵子,,,,KMHHS,First,Good
9,勉,小林,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,9,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 9,s9877824@gmail.com,12345678,12345678,えりか,,,,KMHHS,First,Good
10,武,加藤,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,10,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 10,s8755462@gmail.com,12345678,12345678,典子,,,,KMHHS,First,Good
11,一郎,吉田,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,11,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 11,s9653484@gmail.com,12345678,12345678,貴幸,,,,KMHHS,First,Good
12,孝,山田,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,12,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 12,s10531049@gmail.com,12345678,12345678,茂,,,,KMHHS,First,Good
13,功,佐々木,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,13,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 13,s8377122@gmail.com,12345678,12345678,睦子,,,,KMHHS,First,Good
14,勲,山口,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,14,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 14,s10563413@gmail.com,12345678,12345678,智也,,,,KMHHS,First,Good
15,健一,松本,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,15,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 15,s9679483@gmail.com,12345678,12345678,康弘,,,,KMHHS,First,Good
16,秀雄,井上,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,16,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 16,s12113242@gmail.com,12345678,12345678,毅,,,,KMHHS,First,Good
17,幸男,木村,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,17,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 17,s9155960@gmail.com,12345678,12345678,麻美,,,,KMHHS,First,Good
18,宏,林,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,18,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 18,s7207426@gmail.com,12345678,12345678,雅一,,,,KMHHS,First,Good
19,正雄,斎藤,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,19,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 19,s10369995@gmail.com,12345678,12345678,美希,,,,KMHHS,First,Good
20,正夫,清水,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,20,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 20,s9680826@gmail.com,12345678,12345678,眞理,,,,KMHHS,First,Good
21,敏夫,山崎,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,21,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 21,s10618225@gmail.com,12345678,12345678,晋作,,,,KMHHS,First,Good
22,昭,森,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,22,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 22,s4561707@gmail.com,12345678,12345678,祐介,,,,KMHHS,First,Good
23,文雄,池田,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,23,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 23,s8347815@gmail.com,12345678,12345678,美由貴,,,,KMHHS,First,Good
24,章,橋本,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,24,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 24,s8894883@gmail.com,12345678,12345678,晴奈,,,,KMHHS,First,Good
25,和男,阿部,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,25,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 25,s8636904@gmail.com,12345678,12345678,芳美,,,,KMHHS,First,Good
26,幸一,石川,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,26,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 26,s9707777@gmail.com,12345678,12345678,洋平,,,,KMHHS,First,Good
27,満,山下,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,27,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 27,s8288007@gmail.com,12345678,12345678,祐也,,,,KMHHS,First,Good
28,良一,中島,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,28,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 28,s10640479@gmail.com,12345678,12345678,嘉彦,,,,KMHHS,First,Good
29,栄一,石井,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,29,2022-2023,BR0-022,872388923,27-03-2023,1年,1組,Morning,Semester 29,s10774136@gmail.com,12345678,12345678,正典,,,,KMHHS,First,Good
